"id","user","userID","game","gameIndex","achieved","percent","total"
"62","JSgjgFbIh8eC9qwTnZLxxGGKNRR2","31","-KYFY1RuistA9p0TO-gk","4","2875","72","4000"
"63","JmLm1DzJKiWCnLD0ZPptS5uHrRC2","32","-KYFBOXOf_x3xSuORcr3","1","775","87","900"
"64","JmLm1DzJKiWCnLD0ZPptS5uHrRC2","32","-KYFBmdTZfl6T5DnKkap","2","1575","88","1800"
"65","JmLm1DzJKiWCnLD0ZPptS5uHrRC2","32","-KYFCX-F93fbWdU09Tc2","3","1500","89","1700"
"66","JmLm1DzJKiWCnLD0ZPptS5uHrRC2","32","-KYI9cHNh13pvpzmrjVr","4","1450","86","1700"
"67","JmLm1DzJKiWCnLD0ZPptS5uHrRC2","32","-KYIAYL4NvkBPBIFv2SS","5","2800","91","3100"
"68","JmLm1DzJKiWCnLD0ZPptS5uHrRC2","32","-KYIAiEa598N6j_d6259","6","3100","78","4000"
"69","KPX41pkCTkgwn4QbJHdDDj46Srg2","33","-KbFRhQqDuDBmdLZX9zF","1","1775","62","2900"
"70","Kx72ZAtorrWXgiNjJNy4ICp1v0s1","34","-KccS2UFkToUuJiQeDMq","1","2550","80","3200"
"71","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-KbZbVtjKTgrzYAKN4CM","1","1075","72","1500"
"72","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-Kb_YqUViUoNWZB5L9tN","2","2525","77","3300"
"73","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-Kb_ZFuAw7fPKRHiPeQK","3","3100","78","4000"
"74","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-Kb_ZQnMLyN9ll2yQeX2","4","3075","77","4000"
"75","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-KbaC4xch0F1IehB89mN","5","3050","79","3900"
"76","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-KbaCDSrfpTyAmUMZgX3","6","3050","77","4000"
"77","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-KbaCU1VT7GA8CB-n87-","7","2950","74","4000"
"78","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-KbaD3aoGzTXM4uprKdG","8","3000","79","3800"
"79","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-KbaXWOIctPrTA0ThhXz","9","1950","75","2600"
"80","L6MGwaC6coWmkKwOQ0VwmroJjra2","35","-KbaXqXSd7J5I5zLnb7o","10","2125","82","2600"
"81","LVtKuIWzBNaG05MFQTCYNQaDJM92","36","-KgJiIl3Y1i1tJQQW213","1","3175","80","4000"
"82","LsVYf4KJU6gY6ADjzfbJPxMdj5n1","37","-KcILgypyK-vUDnYg9o9","1","2875","72","4000"
"83","LsVYf4KJU6gY6ADjzfbJPxMdj5n1","37","-KcJjwc3zOFvLdefNSCC","2","925","78","1200"
"84","MUb94a2oIhcPEvH5RsOMh0wrxdv2","38","-KYSSxzwlm4jF3E8t0Ry","1","1375","63","2200"
"85","MrXyULb2G4ZVJfiTjIp3cHqnV7w2","39","-KYF81-iie1bxc7dqmVf","1","1475","78","1900"
"86","ODnFrzH6buX0ANuZ069zs3JNUVA2","40","-Kdk4k0XHghTZ-qtbEH8","1","2700","80","3400"
"87","OI3sxl5iqKZJ1OnbrWA56qtrtwC2","41","-KYFWB6n6aoBKLnO3fMY","1","2375","66","3600"
"88","OI3sxl5iqKZJ1OnbrWA56qtrtwC2","41","-KYFWkdBRejZFkhdmVFR","2","2575","70","3700"
"89","OTQ1ZSRS2KfkhEyMOIgpFHFp23r1","42","-KcwnMPvdGZhajoZBwhV","1","1800","75","2400"
"90","OrHQiu9vjTeS4IiZsIOAid3XyMf2","43","-KYFfFBQ__5QpQUPAtiG","1","1550","71","2200"
"91","P6fDyFIAwkes4ubhjDWp8YpYpGL2","44","-KgE6ClMWGmq5ZUSC18z","1","2150","66","3300"
